,id,parentId
24867,ulnar nerve component of anterior root of left first thoracic nerve,ulnar nerve component of anterior root of first thoracic nerve
24868,body of pubis,zone of pubis
24869,left fourth thoracic spinal ganglion,fourth thoracic spinal ganglion
24870,xanthogranulomatous cholecystitis,xanthogranulomatous inflammation
24871,neural network of bony part of third metacarpal bone,neural network of bony part of metacarpal bone
24872,10 o’clock position,clock face position
24873,create Teaching File,workflow term
24874,proximal tendon of extensor digitorum longus to fourth toe,tendon of extensor digitorum longus to fourth toe
24875,lateral aspect of Achilles tendon,region of tendon
24876,sesamoid bone,short bone
24877,muscle body of right coracobrachialis,muscle body of coracobrachialis
24878,c8 branch to right iliocostalis thoracis,c8 branch to iliocostalis thoracis
24879,hamstring muscle,skeletal muscle of posterior thigh
24880,right simple lobule,simple lobule of cerebellum
24881,s4 segment of substantia gelatinosa,sacral subsegment of substantia gelatinosa
24882,esophageal constriction by left principal bronchus,constriction zone of esophagus
24883,s2 root of posterior division of sacral plexus,branch of anterior ramus of second sacral nerve
24884,fractional anisotropy map,trace of diffusion tensor reconstruction
24885,vasculature of lumbar segment of spinal cord,vasculature of segment of spinal cord
24886,plexiform layer of right Brodmann area 23,plexiform layer of Brodmann area 23
24887,left semioval center,semioval center
24888,descending branch of meningeal branch of thoracic nerve,descending branch of meningeal branch of spinal nerve
24889,right ascending lumbar lymph trunk,ascending lumbar lymphatic trunk
24890,subserosa of esophagus,subserosa of organ
24891,medial segment of right ventral gray column of spinal cord,medial segment of ventral gray column of spinal cord
24892,noninvoluting congenital hemangioma,hemangioma
24893,branch of anterior choroidal artery to hypothalamus,branch of anterior choroidal artery
24894,nerve to left flexor accessorius,nerve to flexor accessorius
24895,musculotubal canal,cranial conduit space
24896,inferior root of left ansa cervicalis,inferior root of ansa cervicalis
24897,left lateral umbilical fold,lateral umbilical fold
24898,rootlet of lumbar nerve,rootlet of spinal nerve
24899,lacunar-molecular layer of CA3 field,layer of CA3 field
24900,dura mater of posterior root of left third sacral nerve,dura mater of posterior root of third sacral nerve
24901,right medial patellar retinaculum,medial patellar retinaculum
24902,proximal part of diaphysis of left femur,proximal part of diaphysis of femur
24903,epithelium of esophageal cardiac gland,epithelium of esophageal gland
24904,areolar connective tissue of submucosa of duodenum,areolar connective tissue
24905,l3 segment of right dorsal funiculus of spinal cord,l3 segment of dorsal funiculus of spinal cord
24906,t5 branch to right splenius cervicis,t5 branch to splenius cervicis
24907,mass,lesion
24908,circular muscle layer of esophagus,inner muscle layer of organ
24909,t5 segment of marginal zone of right dorsal gray column of spinal cord,t5 segment of marginal zone of dorsal gray column of spinal cord
24910,medial branch of anterior cutaneous branch of right third intercostal nerve,medial branch of anterior cutaneous branch of third intercostal nerve
24911,c3 segment of right cuneate fasciculus of spinal cord,c3 segment of cuneate fasciculus of spinal cord
24912,anatomical line of eyeball,bona fide anatomical line
24913,internal surface of intestine,surface of organ system subdivision
24914,posterior segment of left cingulum bundle,posterior segment of cingulum bundle
24915,anterior thalamic peduncle,peduncle of diencephalon
24916,acromial branch of thoraco-acromial artery,subdivision of thoraco-acromial artery
24917,left nucleus subceruleus,nucleus subceruleus
24918,internal pyramidal layer of Brodmann area 23,lamina of Brodmann area 23
24919,peripheral segment of right superior subscapular nerve,peripheral segment of superior subscapular nerve
24920,pre-aortic,anatomically-related descriptor
24921,left transverse cervical nerve,transverse cervical nerve
24922,space of anterior part of superior mediastinum,subdivision of superior mediastinal space
24923,Cs rod source attenuation correction,radioactive source attenuation correction
24924,s1 branch to multifidus,medial branch of posterior ramus of first sacral nerve
24925,meningeal branch of fourth thoracic nerve,meningeal branch of thoracic nerve
24926,muscle body of right rhomboid minor,muscle body of rhomboid minor
24927,superior subscapular nerve nucleus of right dorsal column,superior subscapular nerve nucleus of dorsal column
24928,wall of anterior intermediate minor calyx,wall of intermediate minor calyx
24929,intervertebral vein,systemic vein
24930,Precert,workflow term
24931,anterior zone of superior part proper of body of scapula,zone of superior part of body of scapula
24932,right corona radiata,corona radiata
24933,proximal epiphysis of proximal phalanx of right thumb,proximal epiphysis of proximal phalanx of thumb
24934,central segment of right medial pectoral nerve,central segment of medial pectoral nerve
24935,trunk of cutaneous branch to scalp behind right auricle,trunk of cutaneous branch to scalp behind auricle
24936,retrotonsillar segment of PICA,branch of posterior inferior cerebellar artery
24937,RID6913,Obsolete Radlex Term
24938,arteriovenous malformation,high-flow vascular malformation
24939,allergy,disorder of immune function
24940,trunk of saccular nerve,trunk of branch of vestibular nerve
24941,oral mucosal space,organ zone
24942,right vagus nerve,vagus nerve
24943,right anterior meniscofemoral ligament,anterior meniscofemoral ligament
24944,right biventer lobule,biventral lobule
24945,macula cribrosa media,macula cribrosa
24946,subdivision of surface of cuboid bone,surface of subdivision of tarsal bone
24947,FirstImage,workflow term
24948,median nerve nucleus of right ventral column,median nerve nucleus of ventral column
24949,marginal zone of left dorsal gray column of spinal cord,marginal zone of dorsal gray column of spinal cord
24950,left Brodmann area 40,Brodmann area 40
24951,organ zone,organ region
24952,surface of segment of midbrain,surface of segment of brain
24953,lateral angle region of left scapula,lateral angle region of scapula
24954,c8 ventral column nucleus of left ulnar nerve,c8 ventral column nucleus of ulnar nerve
24955,trunk of soleus branch of left tibial nerve,trunk of soleus branch of tibial nerve
24956,set of extremity lymphatic vessels,set of lymph vessels
24957,neuronal component of lumbar segment of spinal cord,neuronal component of segment of spinal cord
24958,set of rootlets of eighth thoracic nerve,set of rootlets of thoracic nerve
24959,third dorsal digital branch of right ulnar nerve,third dorsal digital branch of ulnar nerve
24960,insular segment of right uncinate fasciculus,insular segment of uncinate fasciculus
24961,tunnel view,imaging view
24962,panographic radiograph,imaging modality
24963,posterior rootlet of right seventh thoracic nerve,posterior rootlet of seventh thoracic nerve
24964,posterior ramus of ninth thoracic nerve,posterior ramus of thoracic nerve
24965,superior vesical artery,subdivision of umbilical artery
24966,ventral raphespinal tract,tract of spinal cord
24967,trunk of lateral plantar nerve,trunk of branch of tibial nerve
24968,power Doppler mode,Doppler mode
24969,cardiovascular system,organ system
24970,white matter of anterior part of right middle frontal gyrus,white matter of anterior part of middle frontal gyrus
24971,tributary of popliteal vein,tributary of deep femoral vein
24972,multiform layer of left Brodmann area 28,multiform layer of Brodmann area 28
24973,biopsy coil,magnetic resonance imaging coil
24974,anterior rootlet of third lumbar nerve,anterior rootlet of lumbar nerve
24975,set of rootlets of eighth cervical nerve,set of rootlets of cervical nerve
24976,original Law view,named imaging view
24977,renin sampling,blood removal
24978,lateral root trunk proper segment of C5 root of median nerve,segment of C5 root of median nerve
24979,posterior ramus of right fifth thoracic nerve,posterior ramus of fifth thoracic nerve
24980,subtendinous bursa of right iliacus,subtendinous bursa of iliacus
24981,posterior branch of lateral cutaneous branch of right third intercostal nerve,posterior branch of lateral cutaneous branch of third intercostal nerve
24982,aspiration of lipid,pulmonary aspiration
24983,longitudinal muscle layer of esophagus,outer muscle layer of organ
24984,dura mater of anterior root of right first thoracic nerve,dura mater of anterior root of first thoracic nerve
24985,scintigraphy,nuclear medicine imaging
24986,posterior cord segment of C5 root of left radial nerve,posterior cord segment of C5 root of radial nerve
24987,multiform layer of left Brodmann area 30,multiform layer of Brodmann area 30
24988,internal pyramidal layer of temporal lobe,lamina of cortex of temporal lobe
24989,transverse branch of meningeal branch of sixth thoracic nerve,transverse branch of meningeal branch of thoracic nerve
24990,T-tube cholangiography,cholangiography
24991,pyramidal layer of CA1 field,layer of CA1 field
24992,dura mater of anterior root of sacral nerve,dura mater of anterior root of spinal nerve
24993,cerebellar segment of posterior spinocerebellar tract,segment of posterior spinocerebellar tract
24994,trunk of first common plantar digital nerve,trunk of common plantar digital nerve
24995,interosseous talocalcaneal ligament,ligament of subtalar joint
24996,surface of tendon of lateral head of left triceps brachii,surface of tendon of lateral head of triceps brachii
24997,trunk of left first cervical nerve,trunk of first cervical nerve
24998,image quality,property
24999,abdomen proper,subdivision of abdomen
25000,branch of right anterior choroidal artery to right substantia nigra,branch of anterior choroidal artery to substantia nigra
25001,right crus of diaphragm,crus of diaphragm
25002,c6 dorsal column nucleus of right musculocateneous nerve,c6 dorsal column nucleus of musculocutaneous nerve
25003,plate-like,morphologic descriptor
