id,parentId
muscle body of acromial part of left deltoid,muscle body of acromial part of deltoid
serosa of right uterine tube,serosa of uterine tube
right oblique view,oblique view
nerve to fourth dorsal interosseous of left foot,nerve to fourth dorsal interosseous of foot
trunk of left eighth cervical nerve,trunk of eighth cervical nerve
side-to-side anastomosis,anastomosis
dura mater of posterior root of left first cervical nerve,dura mater of posterior root of first cervical nerve
dura mater of anterior rootlet of first cervical nerve,dura mater of anterior rootlet of cervical nerve
area of origin of teres major,zone of inferior part of body of scapula
right pes anserinus bursa,pes anserinus bursa
white matter of left superior transverse frontopolar gyrus,white matter of superior transverse frontopolar gyrus
posterior surface of left adrenal gland,posterior surface of adrenal gland
t4 branch to multifidus,muscular branch of medial branch of posterior ramus of fourth thoracic nerve
twin peak sign,imaging sign
nervous system of lower limb,nervous system of limb
external granular layer of Brodmann area 25,lamina of Brodmann area 25
leaflet of tricuspid valve,leaf of cardiac valve
abductor pollicis longus tendon,tendon
belly of third plantar interosseous of left foot,belly of third plantar interosseous of foot
third dorsal digital nerve,dorsal digital nerve of foot
bending view,imaging view
blind pouch syndrome,postoperative complication
trunk of right fourth common plantar digital nerve,trunk of fourth common plantar digital nerve
nerve to serratus anterior (n),nerve to serratus anterior
dura mater of anterior root of fourth sacral nerve,dura mater of anterior root of sacral nerve
ossifying fibroma,bone-forming neoplasm
areolar connective tissue of zona fasciculata of adrenal gland,areolar connective tissue
synovial membrane of articular capsule of subtalar joint,synovial membrane of articular capsule of synovial joint
ConfirmConsent,workflow term
volar ulnolunate ligament,volar ulnocarpal ligament
brodmann area 43 of right postcentral gyrus,brodmann area 43 of postcentral gyrus
anterior root of thoracic nerve,anterior root of spinal nerve
suprascapular vein,tributary of external jugular vein
proximal epiphysis of middle phalanx of ring finger,proximal epiphysis of phalanx of ring finger
fourth tendon of flexor digitorum longus,tendon
tendon of right longissimus thoracis,tendon of longissimus thoracis
c5 ventral column nucleus of right long thoracic nerve,c5 ventral column nucleus of long thoracic nerve
semitendinosus muscle,muscle of posterior compartment of thigh
articular cartilage of medial condyle of tibia,articular cartilage of proximal epiphysis of tibia
pectoralis minor branch of left lateral pectoral nerve,pectoralis minor branch of lateral pectoral nerve
right lateral patellofemoral ligament,lateral patellofemoral ligament
set of superior mesenteric vessels,set of mesenteric vessels
left Brodmann area 13,Brodmann area 13
neural network of subdivision of mouth,neural network of subdivision of face
brodmann area 30 of right limbic lobe,brodmann area 30 of limbic lobe
esophageal intubation,esophagus surgery
intervertebral tributary of right fourth lumbar vein,intervertebral tributary of fourth lumbar vein
omega sign,imaging sign
belly of palmaris longus,muscle belly
sternocleidomastoid branch of occipital artery,branch of occipital artery
set of C5-T1 roots of left brachial nerve plexus,set of C5-T1 roots of brachial nerve plexus
neural network of forearm,neural network of region of upper limb
posterior ramus of first sacral nerve,posterior ramus of sacral nerve
postganglionic segment of posterior root of seventh cervical spinal nerve,postganglionic segment of posterior root of cervical spinal nerve
musculophrenic artery,branch of internal thoracic artery
prevertebral space,nervous system space
neural tissue of optic nerve-tract complex,neural tissue of cranial nerve-tract complex
subdivision of skull,subdivision of skeletal system
communicating branch of superior cervical ganglion with cranial nerve,branch of superior cervical ganglion
tendon of right extensor digitorum longus to right third toe,tendon of extensor digitorum longus to third toe
paracolic lymph node of transverse colon,paracolic lymph node
lumen of neck of gallbladder,organ cavity subdivision
posterior rootlet of cervical nerve,posterior rootlet of spinal nerve
dorsal longitudinal fasciculus of hypothalamus,tract of diencephalon
variant superficial cervical artery,superficial cervical artery
set of C5 and C6 roots of brachial nerve plexus,set of roots of brachial nerve plexus
radiolabeled DTPA,radiopharmaceutical
PI-RADS 5 - Very high,PI-RADS Overall Assessment Category
axillary nerve component of trunk of left sixth cervical nerve,axillary nerve component of trunk of sixth cervical nerve
filum terminale,segment of spinal pia mater
dorsal branch of medial proper palmar digital branch of median nerve to middle finger,dorsal branch of proper palmar digital branch of median nerve to middle finger
parieto-occipital eminence,region of wall of lateral ventricle
monitored,guidance descriptor
epididymis,duct
patient motion,physiologic or metabolic artifact
branch of left subcostal nerve to left internal oblique,branch of subcostal nerve to internal oblique
laterally displaced ureter sign,imaging sign
right mandibular nerve,mandibular nerve
white matter of left transverse temporal gyrus,white matter of transverse temporal gyrus
gastric lymph node group,visceral lymph node group of abdomen proper
radiofrequency coil,magnetic resonance imaging coil
perineal branch of right posterior femoral cutaneous nerve,perineal branch of posterior femoral cutaneous nerve
brodmann area 35 of left limbic lobe,brodmann area 35 of limbic lobe
left second lumbar nerve,second lumbar nerve
postganglionic segment of posterior root of right second thoracic spinal nerve,postganglionic segment of posterior root of second thoracic spinal nerve
t10 branch to left iliocostalis lumborum,t10 branch to iliocostalis lumborum
c6 ventral column nucleus of left axillary nerve,c6 ventral column nucleus of axillary nerve
RID9489,Obsolete Radlex Term
fifth thoracic nerve,thoracic nerve
rootlet of right first sacral nerve,rootlet of first sacral nerve
anterior diaphragmatic branch of right phrenic nerve,anterior diaphragmatic branch of phrenic nerve
plexiform layer of right Brodmann area 5,plexiform layer of Brodmann area 5
Poppel sign,imaging sign
hyponychium of left big toe,hyponychium of big toe
subdivision of superior vena caval tree,systemic vein
radial nerve component of superior trunk segment of fifth cervical nerve,segment of C5 root of radial nerve
intrafallopian contrast,anatomical contrast
lollipop sign of diverticula,imaging sign
nerve to right levator veli palatini,nerve to levator veli palatini
giant cell tumor,histiocytic or fibrohistiocytic neoplasm
pleural branch of first intercostal nerve,pleural branch of intercostal nerve
endotracheal tube,tube
medial collateral ligament of distal interphalangeal joint of toe,ligament of distal interphalangeal joint of toe
radicular artery,branch of posterior intercostal artery
motion descriptor,Radlex descriptor
internal circular muscle layer of left uterine tube proper,internal circular muscle layer of uterine tube proper
pleomorphic liposarcoma,liposarcoma
non-mass heterogeneous enhancement,non-mass internal enhancement pattern
central zone of prostate,zone of prostate
ventral tributary of third lumbar vein,ventral tributary of lumbar vein
infundibulum of renal collection system,region of organ component of kidney
dentine of tooth,part of tooth
belly of left rectus abdominis,belly of rectus abdominis
orbit,subdivision of skull
neuronal component of white matter of T3 segment,neuronal component of white matter of thoracic subsegment of spinal cord
lateral vestibular nucleus,vestibular nucleus
vasocorona,arterial anastomosis
nucleus of right lateral olfactory tract,nucleus of lateral olfactory tract
mucosa of nasopharynx,mucosa of region of pharynx
pericardial fat pad,fat body
medial superior tributary of left hepatic biliary tree,segmental tributary of left hepatic biliary tree
articular branch of posterior ramus of thoracic nerve,branch of posterior ramus of thoracic nerve
paracolic lymphatic chain of descending colon,abdominal lymphatic chain
parotid branch of auriculotemporal nerve,branch of auriculotemporal nerve
subdivision of posterior triangle of neck,compartment of neck
left medial occipital artery,medial occipital artery
right sublentiform nucleus,sublentiform nucleus
internal circular muscle layer of isthmus of right uterine tube,internal circular muscle layer of isthmus of uterine tube
zone of appendix,organ zone
brodmann area 42 of left transverse temporal gyrus,brodmann area 42 of transverse temporal gyrus
cough,symptom
silicone saturation,spectral saturation
gland of larynx,organ component gland
hafnium,chemical element
white matter of hemisphere of cerebellum,white matter of segment of cerebellum
postcentral branch of spinal branch of right lumbar artery,postcentral branch of spinal branch of lumbar artery
set of levatores costarum,musculature of chest
anti-mesenteric border of jejunum,anatomical line of small intestine
